,,AREA,,,,,,,,,,,,,CASES/DEATHS: LAST WEEK (May 20-26),,,,,CASES/DEATHS: % CHANGE FROM PREVIOUS WEEK,,CASES/DEATHS: PREVIOUS WEEK (May 13-19),,,,,CASES/DEATHS: OTHER METRICS,,,,,,,,,,"VIRAL (RT-PCR) LAB TESTING: LAST WEEK (May 18-24, Test Volume May 14-20 )",,,,,VIRAL (RT-PCR) LAB TESTING: % CHANGE FROM PREVIOUS WEEK,,,,"VIRAL (RT-PCR) LAB TESTING: PREVIOUS WEEK (May 11-17, Test Volume May 7-13 )",,,,,HOSPITAL UTILIZATION: LAST WEEK (May 19-25),,,,,,,,,,HOSPITAL UTILIZATION: CHANGE FROM PREVIOUS WEEK,,,,,,,,HOSPITAL REPORTING AND CAPACITY,,,,,,,,COVID-19 VACCINATION DATA: CUMULATIVE (May 27),,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA LAST WEEK,,,,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA % CHANGE FROM PREVIOUS WEEK,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA CUMULATIVE,,,,,,,,,,,,DEMOGRAPHIC DETAILS,,,,,,,,,,FORECASTING RESULTS (May 24)
"Lee County, TX",Lee County ,48287,Non-core,,,TX,6,"  17,239 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  46 ,  -   ,  -   ,+60%,,0.0%,  5 ,  29 ,  -   ,  -   ,"  2,210 ","  12,820 ",  39 ,  226 ,  -   ,  17 ,ModerateBurden,,Moderate,Moderate,4.6%,  148 ,  859 ,  1.0 ,99%,+0.6%,-23%,  1.0 ,+3%,4.0%,  193 ,"  1,120 ",  -   ,96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,14%,19%,  2.7 ,10%,24%,0%,0%,  0.68 ,  0.76 ,Uncertain
"Castro County, TX",Castro County ,48069,Non-core,,,TX,6,"  7,530 ",,0.0%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  106 ,  -   ,  -   ,+14%,,0.0%,  7 ,  93 ,  -   ,  -   ,"  1,004 ","  13,333 ",  32 ,  425 ,  -   ,  -   ,ModerateBurden,,High,High,7.1%,  23 ,  305 ,  -   ,100%,-2.9%,-65%,  -   ,+23%,10.0%,  66 ,  876 ,  -   ,77%,  1 ,  3 ,  -   ,  -   ,5%,0%,,,0%,0%,-89%,,+4%,0%,,,0%,0%,  1 ,  31 ,  -   ,  1 ,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,26%,16%,16%,  3.0 ,2%,66%,1%,1%,  0.78 ,  0.81 ,Uncertain
"Franklin County, AL",Franklin County ,1059,Non-core,,,AL,4,"  31,362 ",,0.6%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  26 ,  -   ,  -   ,+700%,,0.0%,  1 ,  3 ,  -   ,  -   ,"  4,271 ","  13,618 ",  82 ,  261 ,  -   ,  11 ,ModerateBurden,,Moderate,Low,1.6%,  171 ,  545 ,  -   ,96%,-0.3%,+24%,  -   ,-4%,1.9%,  138 ,  440 ,  -   ,100%,  -   ,  -   ,  -   ,  -   ,49%,0%,21%,0%,2%,0%,,,+6%,0%,0%,0%,+2%,0%,  2 ,  43 ,  6 ,  6 ,100%,100%,100%,100%,"  10,196 ",32.5%,"  8,235 ",26.3%,  2 ,0.1%,  125 ,0.5%,  25 ,0.5%,,,,  42 ,1.6%,  19 ,0.7%,"  10,154 ",43.0%,"  8,216 ",34.8%,"  4,234 ",78.8%,"  3,582 ",66.7%,13%,20%,17%,  2.8 ,4%,18%,0%,0%,  0.84 ,  0.89 ,Uncertain
"Carbon County, WY",Carbon County ,56007,Non-core,,,WY,8,"  14,800 ",,2.6%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  54 ,  -   ,  -   ,-20%,,0.0%,  10 ,  68 ,  -   ,  -   ,"  1,608 ","  10,865 ",  23 ,  155 ,  -   ,  14 ,ModerateBurden,,Substantial,Substantial,4.5%,  140 ,  946 ,  2.0 ,95%,+3.1%,-81%,  -   ,-3%,1.4%,  721 ,"  4,872 ",  2.0 ,98%,  -   ,  -   ,  -   ,  -   ,16%,0%,0%,0%,0%,0%,,,-4%,0%,0%,0%,0%,0%,  1 ,  25 ,  6 ,  3 ,100%,100%,100%,100%,"  5,254 ",35.5%,"  4,372 ",29.5%,  3 ,0.3%,  51 ,0.4%,  6 ,0.2%,,,,  11 ,1.0%,  3 ,0.3%,"  5,242 ",45.8%,"  4,369 ",38.2%,"  1,764 ",66.2%,"  1,609 ",60.4%,10%,13%,18%,  2.3 ,1%,19%,1%,1%,  0.50 ,  0.17 ,Uncertain
"Arlington County, VA",Arlington County ,51013,Large central metro,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan,VA,3,"  236,842 ",3.8%,2.8%,0.1%,  -   ,"  2,686 ",1.1%,0.0%,  8 ,  3 ,  -   ,  -   ,-78%,-100%,0.0%,  37 ,  16 ,  1 ,  0.4 ,"  15,287 ","  6,455 ",  256 ,  108 ,  -   ,  43 ,EmergingHotspot,,Low,Moderate,0.7%,"  4,349 ","  1,836 ",  1.0 ,99%,-0.4%,+11%,  -   ,-1%,1.1%,"  3,917 ","  1,654 ",  1.0 ,100%,  6 ,  1 ,  1 ,  -   ,77%,2%,43%,3%,13%,2%,-25%,-67%,+3%,0%,-10%,+2%,-1%,+2%,  1 ,  483 ,  32 ,  54 ,100%,100%,100%,100%,"  88,681 ",37.4%,"  72,680 ",30.7%,  345 ,2.8%,"  1,299 ",0.7%,  69 ,0.3%,,,,"  2,126 ",17.0%,  667 ,5.3%,"  86,398 ",44.6%,"  72,010 ",37.1%,"  10,093 ",38.4%,"  8,510 ",32.4%,7%,7%,11%,  2.2 ,9%,16%,0%,11%,  0.14 ,  0.09 ,Uncertain
"Green County, WI",Green County ,55045,Medium metro,"Madison, WI",Metropolitan,WI,5,"  36,960 ",5.6%,0.6%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  22 ,  1 ,  2.7 ,-33%,,0.0%,  12 ,  32 ,  -   ,  -   ,"  3,641 ","  9,851 ",  25 ,  68 ,  -   ,  51 ,ModerateBurden,,Moderate,Moderate,1.9%,  537 ,"  1,453 ",  1.0 ,100%,-1.0%,+8%,  -   ,0%,2.9%,  495 ,"  1,339 ",  1.0 ,100%,  7 ,  12 ,  -   ,  -   ,53%,5%,26%,0%,17%,0%,+75%,,-14%,-1%,-31%,-26%,-16%,-33%,  1 ,  59 ,  6 ,  5 ,100%,100%,100%,100%,"  18,887 ",51.1%,"  17,150 ",46.4%,  159 ,5.2%,  203 ,0.7%,  16 ,0.2%,,,,  757 ,24.6%,  312 ,10.1%,"  18,130 ",62.9%,"  16,838 ",58.5%,"  6,250 ",87.8%,"  6,074 ",85.3%,4%,8%,19%,  2.4 ,1%,3%,0%,1%,  0.05 ,  0.20 ,Uncertain
"Dickenson County, VA",Dickenson County ,51051,Micropolitan,,,VA,3,"  14,318 ",,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  56 ,  1 ,  7.0 ,+167%,,0.0%,  3 ,  21 ,  -   ,  -   ,  946 ,"  6,607 ",  16 ,  112 ,  -   ,  7 ,ModerateBurden,,Substantial,Moderate,5.5%,  87 ,  608 ,  1.0 ,98%,+1.7%,+85%,  -   ,+1%,3.8%,  47 ,  328 ,  1.0 ,97%,  -   ,  -   ,  -   ,  -   ,0%,0%,,,7%,0%,,,0%,0%,,,+7%,0%,  1 ,  1 ,  -   ,  2 ,100%,100%,100%,100%,"  4,205 ",29.4%,"  3,447 ",24.1%,  30 ,3.0%,  51 ,0.4%,  14 ,0.4%,,,,  93 ,9.4%,  26 ,2.6%,"  4,109 ",35.7%,"  3,421 ",29.7%,"  1,764 ",53.6%,"  1,520 ",46.2%,10%,24%,23%,  2.5 ,0%,1%,0%,0%,  0.68 ,  0.75 ,Uncertain
"Lincoln County, MS",Lincoln County ,28085,Micropolitan,"Brookhaven, MS",Micropolitan,MS,4,"  34,153 ",100.0%,1.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  23 ,  -   ,  -   ,-62%,-100%,0.0%,  21 ,  61 ,  1 ,  2.9 ,"  3,991 ","  11,686 ",  111 ,  325 ,  -   ,  9 ,ModerateBurden,,Moderate,Substantial,3.3%,  98 ,  287 ,  -   ,100%,+1.6%,-26%,  -   ,0%,1.8%,  133 ,  389 ,  -   ,100%,  3 ,  4 ,  3 ,  4 ,47%,2%,43%,0%,5%,0%,0%,+200%,0%,0%,+12%,0%,+5%,0%,  1 ,  69 ,  8 ,  22 ,100%,100%,100%,100%,"  8,790 ",25.7%,"  7,227 ",21.2%,  28 ,1.0%,  101 ,0.4%,  12 ,0.2%,,,,  60 ,2.2%,  22 ,0.8%,"  8,727 ",33.3%,"  7,205 ",27.5%,"  3,784 ",63.5%,"  3,340 ",56.0%,13%,22%,17%,  2.6 ,30%,1%,0%,0%,  0.76 ,  0.62 ,Uncertain
"Cibola County, NM",Cibola County ,35006,Micropolitan,"Grants, NM",Micropolitan,NM,6,"  26,675 ",100.0%,1.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  30 ,  11 ,  41.2 ,-20%,+1000%,0.0%,  10 ,  37 ,  1 ,  3.7 ,"  2,892 ","  10,842 ",  124 ,  465 ,  -   ,  -   ,ModerateBurden,,Moderate,Moderate,0.8%,  913 ,"  3,423 ",  1.0 ,96%,-0.4%,-19%,  -   ,+4%,1.2%,"  1,134 ","  4,251 ",  1.0 ,92%,  13 ,  100 ,  -   ,  -   ,86%,17%,143%,143%,0%,0%,+138%,-100%,+39%,+11%,+34%,+70%,0%,0%,  2 ,  13 ,  1 ,  7 ,50%,50%,100%,50%,"  11,822 ",44.3%,"  11,455 ",42.9%,  124 ,6.1%,  199 ,1.0%,  33 ,0.7%,,,,  729 ,36.1%,  365 ,18.1%,"  11,090 ",54.2%,"  11,087 ",54.2%,"  2,469 ",55.2%,"  2,749 ",61.5%,11%,27%,17%,  2.8 ,1%,38%,40%,0%,  1.00 ,  0.93 ,Uncertain
"Franklin County, GA",Franklin County ,13119,Non-core,,,GA,4,"  23,349 ",,0.2%,0.0%,  -   ,  811 ,3.5%,0.0%,  8 ,  34 ,  1 ,  4.3 ,+33%,,0.0%,  6 ,  26 ,  -   ,  -   ,"  2,672 ","  11,444 ",  51 ,  218 ,  -   ,  18 ,ModerateBurden,,High,High,12.7%,  120 ,  514 ,  -   ,89%,-8.5%,-2%,  -   ,-2%,21.3%,  123 ,  527 ,  -   ,91%,  3 ,  5 ,  -   ,  -   ,40%,5%,21%,2%,1%,0%,+200%,,-8%,+1%,-45%,-4%,+1%,0%,  1 ,  65 ,  8 ,  36 ,100%,100%,100%,100%,"  1,084 ",4.6%,"  1,050 ",4.5%,  5 ,0.3%,  73 ,0.4%,  13 ,0.3%,,,,  9 ,0.5%,  2 ,0.1%,"  1,075 ",5.9%,"  1,048 ",5.7%,  317 ,7.1%,  351 ,7.8%,16%,25%,19%,  2.6 ,9%,5%,0%,1%,  0.85 ,  0.92 ,Uncertain
"Mecklenburg County, VA",Mecklenburg County ,51117,Non-core,,,VA,3,"  30,587 ",,0.4%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  26 ,  -   ,  -   ,-50%,,0.0%,  16 ,  52 ,  -   ,  -   ,"  2,326 ","  7,605 ",  67 ,  219 ,  -   ,  16 ,ModerateBurden,,Moderate,Substantial,4.0%,  325 ,"  1,063 ",  -   ,100%,+0.6%,-7%,  -   ,+1%,3.3%,  351 ,"  1,148 ",  -   ,99%,  6 ,  12 ,  -   ,  -   ,90%,8%,77%,4%,29%,7%,+41%,,+21%,-2%,+6%,-10%,+13%,+7%,  1 ,  51 ,  10 ,  6 ,100%,100%,100%,100%,"  3,134 ",10.2%,"  2,656 ",8.7%,  2 ,0.1%,  43 ,0.2%,  4 ,0.1%,,,,  31 ,1.5%,  16 ,0.8%,"  3,102 ",12.5%,"  2,640 ",10.6%,"  1,287 ",16.3%,"  1,186 ",15.0%,12%,19%,26%,  2.5 ,34%,3%,0%,1%,  0.78 ,  0.50 ,Uncertain
"Miller County, MO",Miller County ,29131,Non-core,,,MO,7,"  25,619 ",,0.4%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  31 ,  -   ,  -   ,+700%,,0.0%,  1 ,  4 ,  -   ,  -   ,"  2,548 ","  9,946 ",  54 ,  211 ,  -   ,  11 ,ModerateBurden,,Moderate,Low,3.2%,  128 ,  500 ,  -   ,100%,+2.6%,-14%,  -   ,+1%,0.6%,  149 ,  582 ,  -   ,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  5,894 ",23.0%,"  4,892 ",19.1%,  9 ,0.4%,  112 ,0.6%,  18 ,0.4%,,,,  47 ,2.3%,  16 ,0.8%,"  5,846 ",29.8%,"  4,875 ",24.9%,"  2,654 ",53.0%,"  2,285 ",45.6%,11%,18%,20%,  2.5 ,1%,2%,1%,0%,  0.50 ,  0.72 ,Uncertain
"Powhatan County, VA",Powhatan County ,51145,Large fringe metro,"Richmond, VA",Metropolitan,VA,3,"  29,652 ",2.3%,0.4%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  27 ,  -   ,  -   ,+100%,-100%,0.0%,  4 ,  13 ,  1 ,  3.4 ,"  1,920 ","  6,475 ",  17 ,  57 ,  -   ,  46 ,ModerateBurden,,Moderate,Moderate,1.1%,  196 ,  661 ,  1.0 ,100%,-0.9%,-5%,  -   ,+2%,2.0%,  206 ,  695 ,  1.0 ,98%,,,,,,,,,,,,,,,,,,,,,,,,,,,  511 ,1.7%,  433 ,1.5%,  1 ,,  2 ,0.0%,,,,,,  1 ,0.1%,,,  510 ,2.1%,  433 ,1.8%,  262 ,4.7%,  236 ,4.2%,6%,5%,19%,  2.5 ,9%,2%,0%,1%,  0.01 ,  0.04 ,Uncertain
"Mitchell County, GA",Mitchell County ,13205,Non-core,,,GA,4,"  21,863 ",,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  37 ,  -   ,  -   ,,-100%,0.0%,  -   ,  -   ,  1 ,  4.6 ,"  2,089 ","  9,555 ",  83 ,  380 ,  -   ,  21 ,ModerateBurden,,Moderate,Low,3.2%,  113 ,  517 ,  -   ,95%,-0.8%,+28%,  -   ,+21%,4.0%,  88 ,  403 ,  -   ,74%,  -   ,  -   ,  -   ,  -   ,50%,0%,,,,,,,+7%,0%,,,,,  1 ,  24 ,  -   ,  -   ,100%,100%,100%,100%,"  1,659 ",7.6%,"  1,467 ",6.7%,  4 ,0.2%,  58 ,0.3%,  7 ,0.2%,,,,  16 ,0.9%,  8 ,0.5%,"  1,643 ",9.7%,"  1,459 ",8.6%,  611 ,16.6%,  581 ,15.8%,18%,24%,17%,  2.6 ,48%,5%,0%,1%,  0.99 ,  0.98 ,Uncertain
"San Miguel County, CO",San Miguel County ,8113,Non-core,,,CO,8,"  8,179 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  98 ,  -   ,  -   ,,,0.0%,  -   ,  -   ,  -   ,  -   ,  885 ,"  10,820 ",  -   ,  -   ,  -   ,  -   ,ModerateBurden,,Substantial,Low,3.1%,  243 ,"  2,971 ",  1.0 ,99%,+2.7%,-23%,  -   ,+1%,0.4%,  315 ,"  3,851 ",  1.0 ,98%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  4,494 ",54.9%,"  3,905 ",47.7%,  178 ,34.2%,  97 ,1.4%,  6 ,0.5%,,,,  309 ,59.3%,  93 ,17.9%,"  4,172 ",61.7%,"  3,811 ",56.3%,  340 ,26.9%,  447 ,35.3%,8%,9%,15%,  2.3 ,1%,11%,1%,1%,  0.03 ,  0.00 ,Uncertain
"Lewis County, MO",Lewis County ,29111,Micropolitan,"Quincy, IL-MO",Micropolitan,MO,7,"  9,776 ",13.0%,0.2%,0.0%,  -   ,  965 ,9.9%,0.0%,  8 ,  82 ,  -   ,  -   ,-20%,-100%,0.0%,  10 ,  102 ,  6 ,  61.4 ,"  1,045 ","  10,689 ",  19 ,  194 ,  -   ,  -   ,ModerateBurden,,Substantial,High,1.5%,  70 ,  716 ,  1.0 ,100%,-0.9%,+67%,  -   ,0%,2.4%,  42 ,  430 ,  1.0 ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  2,805 ",28.7%,"  2,245 ",23.0%,  2 ,0.3%,  19 ,0.2%,  1 ,0.1%,,,,  13 ,1.7%,  7 ,0.9%,"  2,792 ",36.7%,"  2,238 ",29.4%,"  1,322 ",72.0%,"  1,137 ",62.0%,10%,16%,19%,  2.5 ,3%,2%,0%,0%,  0.45 ,  0.76 ,Uncertain
"Lunenburg County, VA",Lunenburg County ,51111,Non-core,,,VA,3,"  12,196 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  66 ,  1 ,  8.2 ,+60%,,0.0%,  5 ,  41 ,  -   ,  -   ,  778 ,"  6,379 ",  14 ,  115 ,  -   ,  -   ,ModerateBurden,,Substantial,Substantial,9.8%,  83 ,  681 ,  1.0 ,100%,+1.4%,-21%,  -   ,0%,8.4%,  105 ,  861 ,  1.0 ,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  3,678 ",30.2%,"  3,187 ",26.1%,  5 ,0.6%,  56 ,0.6%,  11 ,0.4%,,,,  29 ,3.6%,  11 ,1.4%,"  3,648 ",36.9%,"  3,176 ",32.1%,"  1,572 ",56.8%,"  1,433 ",51.8%,13%,18%,23%,  2.6 ,33%,5%,0%,0%,  0.86 ,  0.96 ,Uncertain
"Scott County, MS",Scott County ,28123,Non-core,,,MS,4,"  28,124 ",,0.9%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  28 ,  1 ,  3.6 ,-33%,,0.0%,  12 ,  43 ,  -   ,  -   ,"  3,177 ","  11,296 ",  74 ,  263 ,  -   ,  57 ,ModerateBurden,,Moderate,Moderate,2.1%,  67 ,  238 ,  -   ,100%,-0.9%,+22%,  -   ,0%,2.9%,  55 ,  196 ,  -   ,100%,  1 ,  2 ,  -   ,  -   ,38%,1%,,,0%,0%,,,+2%,+1%,,,0%,0%,  2 ,  42 ,  -   ,  2 ,100%,100%,100%,100%,"  8,292 ",29.5%,"  6,982 ",24.8%,  26 ,1.1%,  148 ,0.7%,  18 ,0.4%,,,,  71 ,3.0%,  19 ,0.8%,"  8,220 ",39.9%,"  6,963 ",33.8%,"  3,354 ",77.3%,"  3,065 ",70.7%,16%,29%,15%,  2.7 ,37%,12%,0%,0%,  0.99 ,  0.95 ,Uncertain
"Huerfano County, CO",Huerfano County ,8055,Non-core,,,CO,8,"  6,897 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  116 ,  -   ,  -   ,+100%,,0.0%,  4 ,  58 ,  -   ,  -   ,  425 ,"  6,162 ",  17 ,  246 ,  -   ,  13 ,ModerateBurden,,High,Substantial,2.4%,  272 ,"  3,944 ",  1.0 ,100%,+0.3%,-38%,  -   ,0%,2.1%,  439 ,"  6,365 ",  1.0 ,100%,  1 ,  5 ,  -   ,  -   ,64%,1%,,,0%,0%,,,+6%,-4%,,,0%,0%,  1 ,  20 ,  -   ,  4 ,100%,100%,100%,100%,"  1,594 ",23.1%,"  1,736 ",25.2%,  8 ,1.9%,  37 ,0.6%,  13 ,0.6%,,,,  29 ,6.8%,  17 ,4.0%,"  1,564 ",27.0%,"  1,719 ",29.7%,  534 ,24.1%,  755 ,34.1%,9%,16%,32%,  2.0 ,1%,34%,1%,1%,  0.60 ,  0.31 ,Uncertain
"Simpson County, MS",Simpson County ,28127,Medium metro,"Jackson, MS",Metropolitan,MS,4,"  26,658 ",4.5%,0.9%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  30 ,  -   ,  -   ,+14%,-100%,0.0%,  7 ,  26 ,  1 ,  3.8 ,"  2,964 ","  11,119 ",  89 ,  334 ,  -   ,  21 ,ModerateBurden,,Moderate,Moderate,1.5%,  70 ,  263 ,  -   ,100%,+0.3%,0%,  -   ,0%,1.3%,  70 ,  263 ,  -   ,100%,  4 ,  7 ,  -   ,  -   ,46%,3%,,,0%,0%,,,+4%,-2%,,,0%,0%,  2 ,  54 ,  -   ,  15 ,100%,100%,100%,100%,"  7,931 ",29.8%,"  6,500 ",24.4%,  14 ,0.6%,  93 ,0.5%,  17 ,0.4%,,,,  74 ,3.2%,  28 ,1.2%,"  7,857 ",38.4%,"  6,472 ",31.6%,"  3,334 ",69.1%,"  2,928 ",60.7%,13%,25%,18%,  2.8 ,35%,2%,0%,1%,  0.91 ,  0.85 ,Uncertain
"Winston County, MS",Winston County ,28159,Non-core,,,MS,4,"  17,955 ",,0.6%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  45 ,  -   ,  -   ,-11%,,0.0%,  9 ,  50 ,  -   ,  -   ,"  2,287 ","  12,737 ",  81 ,  451 ,  -   ,  -   ,ModerateBurden,,Moderate,Substantial,0.0%,  16 ,  89 ,  1.0 ,95%,0.0%,-43%,  -   ,-5%,0.0%,  28 ,  156 ,  1.0 ,100%,  -   ,  -   ,  -   ,  -   ,75%,0%,,,0%,0%,,,+27%,-3%,,,0%,0%,  1 ,  14 ,  -   ,  2 ,100%,100%,100%,100%,"  5,908 ",32.9%,"  4,859 ",27.1%,  1 ,0.1%,  85 ,0.6%,  16 ,0.4%,,,,  22 ,1.5%,  8 ,0.5%,"  5,886 ",42.2%,"  4,851 ",34.8%,"  2,677 ",72.7%,"  2,362 ",64.2%,11%,23%,20%,  2.4 ,47%,1%,1%,0%,  0.93 ,  0.86 ,Uncertain
"Tippah County, MS",Tippah County ,28139,Non-core,,,MS,4,"  22,015 ",,0.7%,0.0%,  -   ,  587 ,2.7%,0.0%,  8 ,  36 ,  -   ,  -   ,-27%,,0.0%,  11 ,  50 ,  -   ,  -   ,"  2,900 ","  13,173 ",  68 ,  309 ,  -   ,  -   ,ModerateBurden,,Moderate,Substantial,2.7%,  104 ,  472 ,  -   ,96%,-0.5%,+18%,  -   ,-4%,3.2%,  88 ,  400 ,  -   ,100%,  -   ,  -   ,  -   ,  -   ,47%,0%,,,0%,0%,-100%,,-3%,-2%,,,0%,0%,  1 ,  25 ,  -   ,  5 ,100%,100%,100%,100%,"  6,035 ",27.4%,"  4,923 ",22.4%,  2 ,0.1%,  67 ,0.4%,  16 ,0.4%,,,,  32 ,1.7%,  7 ,0.4%,"  6,002 ",35.9%,"  4,916 ",29.4%,"  2,688 ",72.2%,"  2,354 ",63.3%,12%,20%,17%,  2.7 ,16%,5%,0%,0%,  0.86 ,  0.89 ,Uncertain
"Hart County, GA",Hart County ,13147,Non-core,,,GA,4,"  26,205 ",,0.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  31 ,  1 ,  3.8 ,+33%,0%,0.0%,  6 ,  23 ,  1 ,  3.8 ,"  2,372 ","  9,052 ",  55 ,  210 ,  -   ,  25 ,ModerateBurden,,High,High,11.9%,  86 ,  328 ,  -   ,85%,-4.7%,-18%,  -   ,+7%,16.7%,  105 ,  401 ,  -   ,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,"  5,524 ",21.1%,"  4,796 ",18.3%,  2 ,0.1%,  70 ,0.3%,  18 ,0.3%,,,,  42 ,2.2%,  19 ,1.0%,"  5,482 ",26.4%,"  4,777 ",23.0%,"  2,739 ",47.3%,"  2,501 ",43.2%,11%,17%,22%,  2.5 ,19%,4%,0%,1%,  0.72 ,  0.84 ,Uncertain
"Kimball County, NE",Kimball County ,31105,Non-core,,,NE,7,"  3,632 ",,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  220 ,  -   ,  -   ,+700%,,0.0%,  1 ,  28 ,  -   ,  -   ,  423 ,"  11,646 ",  2 ,  55 ,  -   ,  -   ,ModerateBurden,,High,High,54.2%,  7 ,  193 ,  1.5 ,56%,+4.2%,0%,  0.5 ,-44%,50.0%,  7 ,  193 ,  1.0 ,100%,  -   ,  -   ,  -   ,  -   ,57%,0%,,,0%,0%,,,-29%,0%,,,0%,0%,  2 ,  7 ,  -   ,  1 ,50%,0%,100%,50%,  734 ,20.2%,  902 ,24.8%,  2 ,,  27 ,0.9%,  3 ,0.3%,,,,  2 ,0.8%,,,  732 ,25.5%,  902 ,31.5%,  333 ,36.8%,  487 ,53.8%,12%,9%,25%,  2.3 ,0%,9%,1%,1%,  0.56 ,  0.41 ,Uncertain
"Bosque County, TX",Bosque County ,48035,Non-core,,,TX,6,"  18,685 ",,0.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  43 ,  1 ,  5.4 ,0%,,0.0%,  8 ,  43 ,  -   ,  -   ,"  1,688 ","  9,034 ",  34 ,  182 ,  -   ,  -   ,ModerateBurden,,Moderate,Moderate,3.3%,  94 ,  503 ,  1.0 ,100%,+2.3%,-31%,  1.0 ,0%,1.0%,  137 ,  733 ,  -   ,100%,  -   ,  -   ,  -   ,  -   ,18%,0%,,,0%,0%,-100%,,-3%,-1%,,,0%,0%,  1 ,  30 ,  -   ,  4 ,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,18%,15%,25%,  2.5 ,2%,19%,1%,0%,  0.62 ,  0.78 ,Uncertain
"Geneva County, AL",Geneva County ,1061,Small metro,"Dothan, AL",Metropolitan,AL,4,"  26,271 ",17.6%,0.5%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  30 ,  2 ,  7.6 ,-77%,0%,0.0%,  35 ,  133 ,  2 ,  7.6 ,"  2,553 ","  9,718 ",  81 ,  308 ,  -   ,  1 ,ModerateBurden,,Substantial,High,8.6%,  104 ,  396 ,  -   ,100%,-2.8%,-18%,  -   ,+6%,11.4%,  127 ,  483 ,  -   ,94%,  2 ,  4 ,  -   ,  -   ,45%,3%,14%,10%,0%,0%,+100%,,-15%,+2%,-31%,+7%,0%,0%,  1 ,  52 ,  6 ,  4 ,100%,100%,100%,100%,"  7,103 ",27.0%,"  5,859 ",22.3%,  4 ,0.2%,  90 ,0.4%,  22 ,0.4%,,,,  26 ,1.2%,  9 ,0.4%,"  7,077 ",34.5%,"  5,850 ",28.5%,"  3,630 ",67.0%,"  3,137 ",57.9%,14%,24%,21%,  2.5 ,9%,4%,1%,0%,  0.80 ,  0.88 ,Uncertain
"Giles County, VA",Giles County ,51071,Small metro,"Blacksburg-Christiansburg, VA",Metropolitan,VA,3,"  16,720 ",10.0%,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  8 ,  48 ,  -   ,  -   ,+60%,,0.0%,  5 ,  30 ,  -   ,  -   ,"  1,292 ","  7,727 ",  22 ,  132 ,  -   ,  22 ,ModerateBurden,,Moderate,Moderate,5.4%,  140 ,  837 ,  1.0 ,99%,+2.1%,-12%,  -   ,0%,3.3%,  160 ,  957 ,  1.0 ,99%,  1 ,  4 ,  6 ,  24 ,68%,3%,50%,18%,0%,0%,-50%,-40%,+5%,-2%,-25%,-7%,0%,0%,  1 ,  25 ,  4 ,  6 ,100%,100%,100%,100%,"  2,741 ",16.4%,"  2,211 ",13.2%,  29 ,2.3%,  38 ,0.3%,  4 ,0.1%,,,,  64 ,5.2%,  8 ,0.6%,"  2,676 ",20.1%,"  2,203 ",16.6%,"  1,009 ",27.0%,  904 ,24.2%,9%,11%,22%,  2.4 ,2%,2%,0%,1%,  0.27 ,  0.40 ,Uncertain
